PTH	56.4425	-3.368611
PW	55.544353	-4.681553
PY	50.424367	-4.112333
RCH	51.353833	0.503667
RDL	51.216136	-0.140381
RWY	54.080958	-4.629956
SAB	55.9075	-2.206389
SAM	50.955278	-1.345
SAT	51.406403	-3.434975
SAY	58.215481	-6.329078
SBH	59.882375	-1.294833
SBY	53.31	0.176167
SFD	50.760556	0.121944
SFH	53.392981	-1.383142
SH	52.244667	-2.875833
SHD	57.559167	-1.817222
SLP	52.833639	-2.773611
SM	50.448119	-4.994547
SMF	53.392639	-1.383136
SMG	50.434461	-5.030253
SS	60.460181	-1.215342
SSD	51.894592	0.245031
STM	49.9141	-6.291131
STN	58.206944	-6.183056
STU	51.994722	-5.040278
SUM	59.878889	-1.286667
SWB	52.798003	-2.662542
SWN	51.602222	-4.065833
SWZ	51.603611	-4.065278
TD	54.560339	-1.333444
TIR	56.493167	-6.875556
TL	60.188417	-1.246361
TLA	55.499167	-3.352778
TNL	52.814464	-1.766672
TNT	53.053889	-1.67
TOP	54.205689	-1.378486
TRN	55.313333	-4.783889
UW	55.905153	-3.502511
VLN	51.005014	-2.638753
VYL	53.257422	-4.544139
WAD	53.165333	-0.526833
WAL	53.391944	-3.134444
WBA	52.515903	-2.261761
WCO	51.853056	-0.9625
WFD	53.337658	-2.158358
WHI	53.185	-2.623056
WIK	58.458889	-3.100278
WIK	58.446731	-3.063119
WIT	52.608	-0.498667
WL	54.125667	-3.263028
WL	54.127167	-3.264861
WOD	51.452778	-0.878889
WOL	52.515794	-2.261817
WPL	52.63	-3.153889
WTN	53.742081	-2.887875
WTN	53.751647	-2.852322
WTZ	52.121933	0.940469
